a,Course_Title,Course_Credit
ANTH 3514.,European Prehistory.,(3 Credits)
ANTH 3522.,Ecological Anthropology Seminar.,(3 Credits)
ANTH 3523E.,The Origins of Agriculture.,(3 Credits)
ANTH 3531.,Maritime Archaeology of the Americas.,(3 Credits)
ANTH 3532.,Archaeology of the Age of Sail.,(3 Credits)
ANTH 3555.,Archaeological Science.,(3 Credits)
ANTH 3560.,The Evolution of Human Diet.,(3 Credits)
ANTH 3701.,Lithic Technology.,(3 Credits)
ANTH 3703.,Zooarchaeological Method and Theory.,(3 Credits)
ANTH 3704.,Experimental Archaeology.,(3 Credits)
ANTH 3705.,Paleoanthropology.,(3 Credits)
ANTH 3706.,Archaeobotany.,(3 Credits)
ANTH 3710.,Technology and Society: Archaeological Perspectives.,(3 Credits)
ANTH 3720.,Lab Methods in Archaeological and Forensic Science.,(1 Credit)
ANTH 3902.,North American Prehistory.,(3 Credits)
ANTH 3904.,Ethnohistory of Native New England.,(3 Credits)
ANTH 3990.,Field Work in Archaeology.,(1-6 Credits)
ANTH 4097W.,Honors Thesis.,(3 Credits)
ANTH 4510.,The Neanderthals.,(3 Credits)
ARAB 1001.,Elementary Arabic I.,(4 Credits)
ARAB 1002.,Elementary Arabic II.,(4 Credits)
ARAB 1003.,Intermediate Arabic I.,(4 Credits)
ARAB 1004.,Intermediate Arabic II.,(4 Credits)
ARAB 1193.,Foreign Study.,(1-6 Credits)
ARAB 1751.,"Traditional Arab Literatures, Cultures, and Civilizations.",(3 Credits)
ARAB 1771.,Modern Arabic Culture.,(3 Credits)
ARAB 2170.,Levantine Arabic.,(3 Credits)
ARAB 2751.,Arabic Folk Tales and Mirrors for Princes.,(3 Credits)
ARAB 3100.,"Advanced Arabic: Composition, Style, and Vocabulary.",(3 Credits)
ARAB 3102.,Media Arabic.,(3 Credits)
ARAB 3212.,Arabic Composition and Conversation.,(3 Credits)
ARAB 3293.,Foreign Study.,(1-8 Credits)
ARAB 3295.,Special Topics.,(1-6 Credits)
ARAB 3299.,Independent Study.,(1-6 Credits)
ARAB 3550W.,Classical Arabic Literature.,(3 Credits)
ARAB 3551.,Arabic Travel Narratives.,(3 Credits)
ARAB 3559.,Arabic Poetry and Poetics.,(3 Credits)
ARAB 3560.,The Arab Spring.,(3 Credits)
ARAB 3570.,Modern Arabic Literature.,(3 Credits)
ARAB 3580.,Climate Change and Energy in the Middle East.,(3 Credits)
ARAB 3751.,"Al-Andalus: Music, Literature, and Science in Muslim Spain.",(3 Credits)
ARAB 3771.,Cinema in the Middle East and North Africa.,(3 Credits)
ARAB 3772.,Stereotypes of Arabs and Muslims.,(3 Credits)
ARIS 1170.,Women's Contemporary Writing in the Arab World.,(3 Credits)
ARIS 1170W.,Women's Contemporary Writing in the Arab World.,(3 Credits)
ARIS 1211.,Introduction to Islam.,(3 Credits)
ARIS 3000.,Classical Arabic.,(3 Credits)
ARIS 3293.,Foreign Study.,(1-15 Credits)
