Course_Code,Course_Title,Course_Credit
TRST 3011,The Art of Literary Translation,3 Units
UNIV 1730,Holster Research Proposal Development,1 Unit
UNIV 1800,FYE University Learning Skills,1 Unit
UNIV 1800,FYE University Learning Skills: University Learning Skills,1 Unit
UNIV 1810,FYE Learning Community Seminar: LC:  Psychological Sciences,1 Unit
UNIV 1810,FYE Learning Community Seminar: LC: Contemp Issues in the World of Business,1 Unit
UNIV 1810,FYE Learning Community Seminar: LC: Ideas and Impact,1 Unit
UNIV 1810,FYE Learning Community Seminar: LCI Latin American Art and Culture,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC:  Business Connections House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC:  Connecting with the Arts House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC:  Innovation House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC:  Leadership House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC:  Nursing House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC:  Public Health House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC:  ScHOLA2RS House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC:  WiMSE House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC: BSOUL House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC: Engineering House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC: Global House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC: Humanities House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC: La Comunidad Intelectual,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC: Pharmacy House,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC:EcoHouse,1 Unit
UNIV 1810,FYE Learning Community Seminar: LLC:Human Rights & Action,1 Unit
UNIV 1810,FYE Learning Community Seminar: La Comunidad Intelectual:Building Empowered Future,1 Unit
UNIV 1820,First Year Seminar: Conversations in Entrepreneurial Leadership,1 Unit
UNIV 1820,First Year Seminar: Defining Happiness,1 Unit
UNIV 1820,First Year Seminar: Develop the Counselor Within,1 Unit
UNIV 1820,First Year Seminar: Education for Social Change,1 Unit
UNIV 1820,First Year Seminar: FirstGEN Connects: Peer Mentor Leadership Developm,1 Unit
UNIV 1820,First Year Seminar: Holistic Dev in Intercollegiate Athletics,1 Unit
UNIV 1820,First Year Seminar: Introduction to Emerging Technologies,1 Unit
UNIV 1820,First Year Seminar: Introduction to Making,1 Unit
UNIV 1820,First Year Seminar: Making 'Major' Decisions,1 Unit
UNIV 1820,First Year Seminar: Mindset for Personal Growth,1 Unit
UNIV 1820,First Year Seminar: Performance Poetry,1 Unit
UNIV 1820,First Year Seminar: Resilience in Healthcare,1 Unit
UNIV 1820,First Year Seminar: S-STEM Scholars Student Success,1 Unit
UNIV 1820,First Year Seminar: Stamford Art Creative Connections,1 Unit
UNIV 1820,First Year Seminar: TYE: Transition Year Experience,1 Unit
UNIV 1820,First Year Seminar: Ucan cook at UConn,1 Unit
UNIV 1820,First Year Seminar: Using Your Entrepreneurial Skills,1 Unit
UNIV 1840,Learning Community Service-Learning: LLC: EcoHouse-Service,1 Unit
UNIV 1840,Learning Community Service-Learning: LLC: Human Rights& Action House-Service,1 Unit
UNIV 1840,Learning Community Service-Learning: LLC: Public Health House-Service,1 Unit
UNIV 1881,Supervised Internship Experience,1 Unit
UNIV 2600,Individualized Study Across Academic Disciplines,1 Unit
UNIV 3294,Entrepreneurial Approaches to Community-Centered Innovation,2 Units
UNIV 3784,Interdisciplinary Honors Seminar,3 Units
UNIV 3784,Interdisciplinary Honors Seminar: Intro to Physical Examination,3 Units
UNIV 3784,Interdisciplinary Honors Seminar: The Health of Communities,3 Units
UNIV 3820,Learning Community Advanced Seminar: LLC:  Humanities House,1 Unit
UNIV 3820,Learning Community Advanced Seminar: LLC:  Innovation House,1 Unit
UNIV 3820,Learning Community Advanced Seminar: LLC:  Leadership House,1 Unit
UNIV 3820,Learning Community Advanced Seminar: LLC:  ScHOLA2RS House,1 Unit
UNIV 3820,Learning Community Advanced Seminar: LLC: BSOUL House,1 Unit
UNIV 3820,Learning Community Advanced Seminar: LLC: EcoHouse,1 Unit
UNIV 3820,Learning Community Advanced Seminar: LLC: Engineering House,1 Unit
UNIV 3820,Learning Community Advanced Seminar: LLC: Global House,1 Unit
UNIV 3820,Learning Community Advanced Seminar: LLC: LaComunidad Intelectual,1 Unit
UNIV 3820,Learning Community Advanced Seminar: LLC: WiMSE House,1 Unit
UNIV 3820,Learning Community Advanced Seminar: LLC:Human Rights&Action House,1 Unit
UNIV 3995,Special Topics: Post-Bacc Sem:Preparing for Health Professions II,1 Unit
UNIV 3999,Independent Study,1-6 Units
UNIV 4600W,Capstone Course,3 Units
UNIV 4697W,Senior Thesis,3-6 Units
UNIV 4800,Senior Year Experience,1 Unit
UNIV 4820,SYE Seminars,1 Unit
UNIV 4840,Senior Year Experience,1 Unit
URBN 1200,Global Urbanization,3 Units
URBN 1300,Exploring Your Community,3 Units
URBN 1300W,Exploring Your Community,3 Units
URBN 2000,Introduction to Urban and Community Studies,3 Units
URBN 2302W,Qualitative Analysis of Urban and Community Studies,3 Units
URBN 2600,Work and Economic Justice,3 Units
URBN 2901,Urban Sociology,3 Units
URBN 3200,Urban Geography,3 Units
URBN 3981,Internship in Urban Studies: Seminar,1-3 Units
URBN 3991,Internship in Urban Studies: Field Study,1-3 Units
URBN 3993,Foreign Study,1-6 Units
URBN 4000,Understanding Your Community,3 Units
URBN 4497W,Senior Thesis,3 Units
URBN 4999,Independent Study,1-6 Units
WGSS 1105,Gender and Sexuality in Everyday Life,3 Units
WGSS 1121,Women in History,3 Units
WGSS 2105W,Gender and Science,3 Units
WGSS 2124,Gender and Globalization,3 Units
WGSS 2204,Feminisms and the Arts,3 Units
WGSS 2217,"Women, Gender and Film",3 Units
WGSS 2217W,"Women, Gender and Film",3 Units
WGSS 2250,"Critical Approaches to Women's, Gender, and Sexuality Studies",3 Units
WGSS 2263,"Women, Gender, and Violence",3 Units
WGSS 2680W,Sociology of Sexualities,3 Units
WGSS 3247,Gender and War,3 Units
WGSS 3253W,Gender Representations in U.S. Popular Culture,3 Units
WGSS 3254,Women and Gender in the Deaf World,3 Units
WGSS 3258,Latina Narrative,3 Units
WGSS 3269,"Gender, Sexuality, and Social Movements",3 Units
WGSS 3271,Seminar on Rape Education and Awareness I,1 Unit
WGSS 3350,Anthropological Perspectives on Women,3 Units
WGSS 3562,"History of Women and Gender in the United States, 1850-Present",3 Units
WGSS 3613,LGBTQ+ Literature,3 Units
WGSS 3652,Black Feminist Politics,3 Units
WGSS 3718W,Feminism and Science Fiction,3 Units
WGSS 3891,Internship Program,1-9 Units
WGSS 3998,Variable Topics: Intro. Native Amer. & Indigen,3 Units
WGSS 3998,Variable Topics: WomensHlth/Latinx&Afroamerican,3 Units
WGSS 3999,Independent Study,1-6 Units
WGSS 4994W,Capstone Seminar,3 Units
