Undergrad_Course_Title,Credit
CMS 210 - Persuasion,3 credit(s).
CMS 221 - Advertising and Public Relations Theories and Concepts,3 credit(s).
CMS 222 - Media Theory,3 credit(s).
CMS 238 - Communication Design,3 credit(s).
CMS 240 - Introduction to Media Studies,3 credit(s).
CMS 245 - Experimental Media Production,3 credit(s).
CMS 247 - Media Issues and Problems,3 credit(s).
"CMS 250 - Reading Film: Form, Genre, Culture",3 credit(s).
CMS 258 - Cinematic Technique,3 credit(s).
CMS 260 - Reading Film II: Approaches to International Film,3 credit(s).
CMS 261 - Managing Social Media I,3 credit(s).
CMS 265 - Social Media: Private Life/Public Life,3 credit(s).
CMS 285 - Communication and Media Research,3 credit(s).
"CMS 298 - Special Topics in Communication, Media and Screen Studies",3 credit(s).
CMS 300 - Organizational Communication,3 credit(s).
CMS 302 - Relational Communication,3 credit(s).
CMS 312 - Communication and Gender,3 credit(s).
CMS 315 - Networked Youth Culture,3 credit(s).
CMS 320 - Workplace Communication,3 credit(s).
CMS 325 - Romance to Ruin: Media and Relationships,3 credit(s).
CMS 327 - Interpersonal Conflict and Communication,3 credit(s).
CMS 329 - Communication Theory,3 credit(s).
CMS 330 - Propaganda in Media,3 credit(s).
CMS 333 - Scriptwriting for Film and Television,3 credit(s).
CMS 335 - Advertising Strategy and Planning,3 credit(s).
CMS 336 - Writing Copy for Integrated Media,3 credit(s).
CMS 338 - Advanced Communication Design,3 credit(s).
CMS 340 - Brand Management,3 credit(s).
"CMS 342 - Hip Hop, Rap and Media",3 credit(s).
CMS 345 - Advanced Audio Production and Sound,3 credit(s).
CMS 346 - Music and Sound in Media,3 credit(s).
CMS 347 - Political Satire and New Media,3 credit(s).
CMS 348 - Media Literacy Education for Students and Teachers,3 credit(s).
CMS 361 - Managing Social Media II,3 credit(s).
CMS 362 - Gender Media Culture,3 credit(s).
"CMS 365 - Television, New Media, and Culture",3 credit(s).
CMS 370 - Studio Production,3 credit(s).
CMS 375 - Field Production,3 credit(s).
CMS 378 - Graphics for Film and Television,3 credit(s).
"CMS 398 - Special Topics in Communication, Media and Screen Studies",3 credit(s).
CMS 410 - Crisis Communication,3 credit(s).
CMS 420 - Professional Communication Training and Development,3 credit(s).
CMS 430 - Advertising and Public Relations Campaigns,3 credit(s).
"CMS 435 - Sex, Violence, and the American Dream",3 credit(s).
CMS 440 - Cultural Influences on Communication,3 credit(s).
CMS 445 - Social Media Campaign Planning,3 credit(s).
CMS 450 - CMS Capstone,3 credit(s).
"CMS 460 - Seminar in Communication, Media, & Screen Studies",3 credit(s).
CMS 465 - Content Development for Social Media,3 credit(s).
CMS 470 - Narrative Filmmaking,3 credit(s).
CMS 473 - Advanced Studio Production,3 credit(s).
CMS 475 - Documentary Filmmaking,3 credit(s).
"CMS 490 - Practicum in Communication, Media and Screen Studies",3 credit(s).
"CMS 495 - Communication, Media, and Screen Studies Capstone Project",3 credit(s).
"CMS 497 - Communication, Media and Screen Studies Field Experience",1 to 12 credit(s).
"CMS 498 - Special Topics in Communication, Media and Screen Studies",3 credit(s).
CMS 499 - Independent Study,1 to 3 credit(s).
COE 200 - Social Emotional Learning in Children Module,0 credit(s).
COE 201 - Dyslexia Module,0 credit(s).
COE 202 - Health and Mental Health Module,0 credit(s).
COE 203 - Computational Thinking  Module,0 credit(s).
COM 234 - Copywriting and Creative Concepts,3 credit(s).
COM 287 - Introduction to Communication Research,3 credit(s).
CSC 101 - Introduction to Computers and Applications,3 credit(s).
CSC 104 - Web Technology,3 credit(s).
CSC 152 - CS1: Programming Fundamentals,3 credit(s).
CSC 200 - Information Management and Productivity Software,3 credit(s).
CSC 207 - Computer Systems,4 credit(s).
CSC 212 - CS 2: Data Structures,3 credit(s).
CSC 229 - Object - Oriented Programming,3 credit(s).
CSC 235 - Web and Database Development,3 credit(s).
CSC 265 - Computer Networking and Security I,3 credit(s).
CSC 305 - Computer Organization,3 credit(s).
CSC 321 - Algorithm Design and Analysis,3 credit(s).
CSC 324 - Computer Ethics,3 credit(s).
CSC 330 - Software Design and Development,3 credit(s).
CSC 334 - Human Computer Interaction,3 credit(s).
CSC 335 - Database Systems,3 credit(s).
CSC 341 - Digital Imaging,3 credit(s).
